support,itemsets,n_items
0.1452991452991453,"cpu_family=i5, price_segment=premium, ram_bucket=unknown, storage_bucket=128gb",4
0.1452991452991453,"brand=lenovo, keyword=core, storage_bucket=128gb",3
0.1452991452991453,"brand=lenovo, keyword=core, keyword=lenovo",3
0.1452991452991453,"brand=lenovo, keyword=core, ram_bucket=unknown, storage_bucket=128gb",4
0.1452991452991453,"brand=lenovo, keyword=core, keyword=lenovo, storage_bucket=128gb",4
0.1452991452991453,"brand=lenovo, keyword=core, keyword=lenovo, ram_bucket=unknown",4
0.1452991452991453,"brand=lenovo, keyword=core, ram_bucket=unknown",3
0.1452991452991453,"keyword=core, keyword=geforce, ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",5
0.1452991452991453,"price_segment=budget, rating_bucket=low, storage_bucket=128gb",3
0.1452991452991453,"price_segment=budget, ram_bucket=unknown, rating_bucket=low",3
0.1452991452991453,"price_segment=budget, rating_bucket=low",2
0.1452991452991453,"keyword=home, price_segment=premium",2
0.1452991452991453,"keyword=core, keyword=geforce, ram_bucket=unknown, rating_bucket=low",4
0.1452991452991453,"keyword=core, keyword=geforce, rating_bucket=low, storage_bucket=128gb",4
0.1452991452991453,"keyword=core, keyword=lenovo, ram_bucket=unknown, storage_bucket=128gb",4
0.1452991452991453,"keyword=core, keyword=lenovo",2
0.1452991452991453,"keyword=home, price_segment=premium, ram_bucket=unknown",3
0.1452991452991453,"keyword=home, price_segment=premium, storage_bucket=128gb",3
0.1452991452991453,"keyword=geforce, rating_bucket=low",2
0.1452991452991453,"keyword=geforce, rating_bucket=low, storage_bucket=128gb",3
0.1452991452991453,"keyword=geforce, ram_bucket=unknown, rating_bucket=low",3
0.1452991452991453,"cpu_family=i5, price_segment=premium",2
0.1452991452991453,"keyword=home, price_segment=premium, ram_bucket=unknown, storage_bucket=128gb",4
0.1452991452991453,"price_segment=budget, ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",4
0.1452991452991453,"keyword=core, keyword=geforce, rating_bucket=low",3
0.1452991452991453,"keyword=geforce, ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",4
0.1452991452991453,"brand=lenovo, keyword=core, keyword=lenovo, ram_bucket=unknown, storage_bucket=128gb",5
0.1452991452991453,"brand=lenovo, keyword=core",2
0.1452991452991453,"keyword=core, keyword=lenovo, storage_bucket=128gb",3
0.1452991452991453,"keyword=core, keyword=lenovo, ram_bucket=unknown",3
0.13675213675213677,"brand=acer, price_segment=budget",2
0.13675213675213677,keyword=linux,1
